height,siblings,exercise_hrs,online_hrs,sleep_hrs,haircut_spend,type_of_person,homeopathy_works,lied_about_age,marijuana,handedness,success_forces_outside_control,work_hard_to_succeed,children_vs_parents,woman_top_position,relaxed_stressful,anxiety_about_analytics,motivated_course_grade,facebook_friends,gender
170,1,2,20,7,10,2,No,No,No,1,Agree,8,Better off,Not having children at all,4,4,5,500,Female
175,2,2,35,7,20,2,Yes,No,NA,1,Disagree,10,Better off,Having children later in her career,4,4,5,509,Male
171,3,2,20,7,41,3,Yes,No,Yes,1,Disagree,10,Better off,Having children early on in her career,3,3,5,1247,Female
162,1,3,42,7,20,3,No,No,No,1,Disagree,10,Better off,Having children early on in her career,4,3,5,800,Female
173,0,2,30,7,50,3,Yes,No,No,0.6,Agree,9,Better off,Having children later in her career,4,3,5,500,Female
161,1,5,40,7.5,4,3,Yes,No,No,1,Disagree,8,Better off,Having children later in her career,4,3,4,542,Female
170,1,1,15,7,50,2,No,No,Yes,1,Disagree,8,Better off,Not having children at all,4,2,5,645,Female
158,2,4,56,8,25,4,No,Yes,No,1,Disagree,8,Worse off,Having children later in her career,4,4,4,400,Female
180,0,4,30,7,5,2,Yes,No,No,1,Agree,10,Better off,Having children early on in her career,4,2,5,1073,Male
178,4,3,35,7,50,2,No,Yes,Yes,0.7894739999999999,Disagree,9,Worse off,Having children later in her career,5,1,5,1077,Male
168,1,7,14,7,80,2,No,Yes,No,1,Disagree,10,Worse off,Having children later in her career,3,2,5,164,Female
183,2,7,20,7,25,3,No,Yes,No,1,Disagree,8,Better off,Having children later in her career,3,2,3,500,Male
177,0,2,40,8,20,2,Yes,No,No,1,Agree,10,Worse off,Having children early on in her career,4,5,5,1000,Male
158,2,2,40,7,25,2,No,Yes,No,1,Disagree,8,Worse off,Having children later in her career,3,2,5,1000,Female
175,3,5,30,8,5,3,No,No,Yes,0.8,Disagree,8,Better off,Having children early on in her career,5,4,5,434,Male
160,2,2,30,10,30,3,No,Yes,No,1,Agree,9,Better off,Having children later in her career,2,3,3,250,Female
172,3,0,20,8,70,3,No,No,No,1,Agree,7,Better off,Not having children at all,3,2,5,272,Female
168,1,10,68,7.3,55.5,2,No,No,No,1,Disagree,10,Better off,Not having children at all,3,1,4,2,Female
185,3,14,14,7,22,5,Yes,Yes,Yes,-0.36,Agree,10,Better off,Not having children at all,5,4,5,2000,Male
179,0,2,6,6,35,3,No,Yes,No,1,Disagree,8,Better off,Having children early on in her career,3,2,4,700,Male
160,2,3,100,8,20,2,No,Yes,No,0,Disagree,6,Worse off,Having children later in her career,2,2,3,20,Female
180,1,3,80,8,15,3,Yes,Yes,No,1,Disagree,10,Better off,Having children later in her career,4,5,5,50,Male
173,1,2,10,7,20,1,No,Yes,No,1,Agree,8,Worse off,Having children later in her career,3,3,3,50,Female
158,1,5,0,6,150,3,No,No,No,1,Disagree,8,Better off,Having children later in her career,3,2,3,1000,Female
160,1,7,50,8,125,3,No,No,No,0.5789000000000001,Agree,6,Worse off,Not having children at all,4,5,5,0,Female
162,2,2,10,8,100,2,Yes,Yes,No,-1,Agree,10,Better off,Having children later in her career,4,2,2,1000,Female
